Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
-43.8194,148.2448,Risso's dolphin,Grampus griseus,1,1899
-43.56858,146.30951,Common dolphin - Short-beaked,Delphinus delphis,10,1899
-43.56,146.91,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-43.56,146.91,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-43.56,146.91,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-43.51,145.96,Common dolphin - Short-beaked,Delphinus delphis,1,1995
-43.51,145.96,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-43.44302,147.15845,Unidentified dolphin,Unidentified dolphin,12,1899
-43.43,148,Southern right whale dolphin,Lissodelphis peronii,12,1995
-43.4217,147.1541,Bottlenose dolphin - Common,Tursiops truncatus,3,1899
-43.4031,147.4121,Bottlenose dolphin - Common,Tursiops truncatus,300,1899
-43.36,146.22,Common dolphin - Short-beaked,Delphinus delphis,1,1995
-43.32,147.02,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-43.31,147.2,Bottlenose dolphin - Common,Tursiops truncatus,1,2001
-43.28,147.25,Common dolphin - Short-beaked,Delphinus delphis,1,1995
-43.27708,147.38608,Bottlenose dolphin - Common,Tursiops truncatus,50,1899
-43.25,147.79,Bottlenose dolphin - Common,Tursiops truncatus,1,2000
-43.24,147.05,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-43.2151,147.0148,Common dolphin - Short-beaked,Delphinus delphis,20,1899
-43.1926,147.9977,Dusky dolphin,Lagenorhynchus obscurus,10,1899
-43.1909,147.2734,Bottlenose dolphin - Common,Tursiops truncatus,6,1899
-43.19,147.32,Bottlenose dolphin - Common,Tursiops truncatus,7,2001
-43.1816,147.9977,Dusky dolphin,Lagenorhynchus obscurus,20,1899
-43.1619,147.2436,Bottlenose dolphin - Common,Tursiops truncatus,5,1899
-43.14,147.29,Bottlenose dolphin - Common,Tursiops truncatus,1,1995
-43.14,148.02,Bottlenose dolphin - Common,Tursiops truncatus,4,2000
-43.1359,147.663,Common dolphin - Short-beaked,Delphinus delphis,2,1899
-43.1341,147.9639,Common dolphin - Short-beaked,Delphinus delphis,60,1899
-43.1194,147.0089,Unidentified dolphin,Unidentified dolphin,3,1899
-43.11715,147.29099,Common dolphin - Short-beaked,Delphinus delphis,6,1899
-43.114,147.71713,Unidentified dolphin,Unidentified dolphin,10,1899
-43.1101,147.0005,Bottlenose dolphin - Common,Tursiops truncatus,8,1899
-43.08276,147.36989,Unidentified dolphin,Unidentified dolphin,3,1899
-43.0643,147.2642,Common dolphin - Short-beaked,Delphinus delphis,6,1899
-43.05945,147.41412,Unidentified dolphin,Unidentified dolphin,40,1899
-43.0464,147.594,Common dolphin - Short-beaked,Delphinus delphis,200,1899
-43.0439,148.18794,Unidentified dolphin,Unidentified dolphin,2,1899
-43.0426,147.4402,Common dolphin - Short-beaked,Delphinus delphis,20,1899
-43.0393,147.401,Bottlenose dolphin - Common,Tursiops truncatus,20,1899
-43.03,147.86,Common dolphin - Short-beaked,Delphinus delphis,8,1994
-43.0278,147.2797,Unidentified dolphin,Unidentified dolphin,2,1899
-43.02189,147.28792,Bottlenose dolphin - Common,Tursiops truncatus,6,1899
-42.9928,147.3306,Unidentified dolphin,Unidentified dolphin,2,1899
-42.99055,147.40144,Unidentified dolphin,Unidentified dolphin,7,1899
-42.98388,147.3279,Unidentified dolphin,Unidentified dolphin,25,1899
-42.9811,147.7259,Bottlenose dolphin - Common,Tursiops truncatus,5,2006
-42.98,147.3329,Unidentified dolphin,Unidentified dolphin,30,1899
-42.9776,147.3877,Unidentified dolphin,Unidentified dolphin,10,1899
-42.9721,147.8292,Bottlenose dolphin - Common,Tursiops truncatus,6,2007
-42.9579,148.053,Dusky dolphin,Lagenorhynchus obscurus,20,1899
-42.95548,147.34727,Unidentified dolphin,Unidentified dolphin,6,1899
-42.9513,147.3587,Bottlenose dolphin - Common,Tursiops truncatus,40,1899
-42.95,147.44,Bottlenose dolphin - Common,Tursiops truncatus,10,2000
-42.94487,147.42078,Bottlenose dolphin - Common,Tursiops truncatus,30,1899
-42.94357,147.3649,Unidentified dolphin,Unidentified dolphin,3,1899
-42.92471,147.45375,Unidentified dolphin,Unidentified dolphin,30,1899
-42.9233,147.3663,Unidentified dolphin,Unidentified dolphin,12,1899
-42.9222,147.4033,Unidentified dolphin,Unidentified dolphin,12,1899
-42.917,147.4079,Bottlenose dolphin - Common,Tursiops truncatus,6,1899
-42.9159,147.411,Bottlenose dolphin - Common,Tursiops truncatus,9,1899
-42.91417,147.4102,Unidentified dolphin,Unidentified dolphin,12,1899
-42.91268,147.50984,Bottlenose dolphin - Common,Tursiops truncatus,8,1899
-42.91233,147.416,Common dolphin - Short-beaked,Delphinus delphis,8,1899
-42.91232,147.41487,Unidentified dolphin,Unidentified dolphin,6,1899
-42.91094,147.40843,Unidentified dolphin,Unidentified dolphin,5,1899
-42.91,147.38,Common dolphin - Short-beaked,Delphinus delphis,30,1996
-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,10,2000
-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,15,2000
-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,1,2001
-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,15,2001
-42.9099,147.4153,Unidentified dolphin,Unidentified dolphin,5,1899
-42.9099,147.4153,Unidentified dolphin,Unidentified dolphin,15,1899
-42.90987,147.40947,Bottlenose dolphin - Common,Tursiops truncatus,1,1899
-42.902,147.3465,Unidentified dolphin,Unidentified dolphin,15,1899
-42.8996,147.4118,Bottlenose dolphin - Common,Tursiops truncatus,15,1899
-42.8935,147.6905,Unidentified dolphin,Unidentified dolphin,2,1899
-42.8853,147.3348,Bottlenose dolphin - Common,Tursiops truncatus,10,1899
-42.8846,147.3355,Unidentified dolphin,Unidentified dolphin,1,1899
-42.8844,147.3351,Unidentified dolphin,Unidentified dolphin,1,1899
-42.8843,147.3951,Unidentified dolphin,Unidentified dolphin,12,1899
-42.8842,147.4081,Bottlenose dolphin - Common,Tursiops truncatus,5,1899
-42.88413,147.367,Unidentified dolphin,Unidentified dolphin,10,1899
-42.8841,147.3374,Common dolphin - Short-beaked,Delphinus delphis,5,1899
-42.88028,147.5197,Bottlenose dolphin - Common,Tursiops truncatus,5,1899
-42.87,147.34,Common dolphin - Short-beaked,Delphinus delphis,1,1995
-42.86366,147.34862,Bottlenose dolphin - Common,Tursiops truncatus,6,1899
-42.8593,147.3383,Bottlenose dolphin - Common,Tursiops truncatus,8,1899
-42.8529,147.32315,Common dolphin - Short-beaked,Delphinus delphis,7,1899
-42.85133,147.35545,Bottlenose dolphin - Common,Tursiops truncatus,5,1899
-42.8503,147.3404,Common dolphin - Short-beaked,Delphinus delphis,20,1899
-42.8487,147.614,Unidentified dolphin,Unidentified dolphin,7,1899
-42.84825,147.34111,Unidentified dolphin,Unidentified dolphin,10,1899
-42.84519,147.33594,Unidentified dolphin,Unidentified dolphin,1,1899
-42.84,147.55,Bottlenose dolphin - Common,Tursiops truncatus,1,2002
-42.8188,147.5874,Unidentified dolphin,Unidentified dolphin,12,1899
-42.8143,147.3068,Unidentified dolphin,Unidentified dolphin,8,1899
-42.80634,147.25836,Unidentified dolphin,Unidentified dolphin,10,1899
-42.79,147.89,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-42.78758,147.25912,Unidentified dolphin,Unidentified dolphin,12,1899
-42.7176,148.4582,Bottlenose dolphin - Common,Tursiops truncatus,3,1899
-42.3996,148.2828,Unidentified dolphin,Unidentified dolphin,12,1899
-42.39027,148.28192,Bottlenose dolphin - Common,Tursiops truncatus,1000,1899
-42.3717,148.2763,Unidentified dolphin,Unidentified dolphin,10,1899
-42.2871,148.3435,Bottlenose dolphin - Common,Tursiops truncatus,8,1899
-42.2746,145.3303,Unidentified dolphin,Unidentified dolphin,1,2012
-42.23,148.27,Bottlenose dolphin - Common,Tursiops truncatus,1,2001
-42.23,148.27,Bottlenose dolphin - Common,Tursiops truncatus,5,2001
-42.1993,147.9977,Dusky dolphin,Lagenorhynchus obscurus,8,1899
-42.17174,148.30159,Bottlenose dolphin - Common,Tursiops truncatus,12,1899
-42.1669,148.2987,Bottlenose dolphin - Common,Tursiops truncatus,6,1899
-42.16,148.35,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
-42.1271,148.2914,Unidentified dolphin,Unidentified dolphin,4,1899
-42.1248,148.1582,Bottlenose dolphin - Common, Tursiops truncatus,80,1899
-42.1163,148.0914,Unidentified dolphin,Unidentified dolphin,3,1899
-42.01,148.31,Bottlenose dolphin - Common,Tursiops truncatus,1,2001
-41.33,148.27,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.2888,148.3116,Unidentified dolphin,Unidentified dolphin,3,1899
-41.25,148.55,Bottlenose dolphin - Common,Tursiops truncatus,1,2002
-41.24961,148.30421,Common dolphin - Short-beaked,Delphinus delphis,10,1899
-41.159,148.432,Common dolphin - Short-beaked,Delphinus delphis,200,1899
-41.15566,146.3558,Unidentified dolphin,Unidentified dolphin,15,1899
-41.1537,146.3564,Bottlenose dolphin - Common,Tursiops truncatus,40,1899
-41.13,146.35,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.13,146.35,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.13,146.35,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.13,146.35,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.12,146.62,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.12,146.62,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.12,146.62,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.08,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.08,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.08,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-41.07,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.07,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.06,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.05,145.93,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.05,148.21,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.03,145.86,Common dolphin - Short-beaked,Delphinus delphis,1,1995
-41.03,145.86,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.02,145.9,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.02,145.9,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.02,145.9,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-41.02,145.9,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-41.01,146.49,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.01,146.49,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-41.01,146.49,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-40.99,148.35,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-40.98,146.16,Common dolphin - Short-beaked,Delphinus delphis,1,1995
-40.98,146.16,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-40.9327,145.626,Bottlenose dolphin - Common,Tursiops truncatus,60,2005
-40.92,145.73,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-40.9178,145.5943,Unidentified dolphin,Unidentified dolphin,6,2004
-40.9149,145.5562,Unidentified dolphin,Unidentified dolphin,400,1899
-40.9122,145.5821,Common dolphin - Short-beaked,Delphinus delphis,250,1899
-40.9113,145.5621,Unidentified dolphin,Unidentified dolphin,100,1899
-40.9108,145.5578,Bottlenose dolphin - Common,Tursiops truncatus,80,1899
-40.9095,145.5566,Unidentified dolphin,Unidentified dolphin,40,2004
-40.87,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-40.87,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-40.87,146.65,Common dolphin - Short-beaked,Delphinus delphis,1,1997
-40.84,145.97,Common dolphin - Short-beaked,Delphinus delphis,1,1993
-40.84,146.82,Common dolphin - Short-beaked,Delphinus delphis,1,1996
-40.84,148.23,Bottlenose dolphin - Common,Tursiops truncatus,1,2000
-40.82,146.82,Common dolphin - Short-beaked,Delphinus delphis,1,1996
